diff;diff2;timebin;season;SA;Estimate_log;pd_log;Estimate_logexp;pd_logexp
80 - 75;NA;NA;FALSE;nonSA;-0.02 [-0.10, 0.05];72.22%;-0.04 [-0.18, 0.19];72.22%
80 - 75;NA;NA;FALSE;NA;-0.02 [-0.10, 0.05];75.20%;-0.04 [-0.18, 0.18];75.20%
80 - 75;NA;NA;TRUE;SA;-0.03 [-0.11, 0.04];84.72%;-0.04 [-0.13, 0.09];84.72%
80 - 75;NA;NA;TRUE;nonSA;-0.03 [-0.11, 0.04];82.42%;-0.05 [-0.15, 0.12];82.42%
80 - 75;NA;NA;TRUE;NA;-0.03 [-0.11, 0.04];84.47%;-0.04 [-0.14, 0.10];84.47%
80 - 75;NA;NA;NA;SA;-0.02 [-0.11, 0.04];81.90%;-0.04 [-0.15, 0.12];81.90%
80 - 75;NA;NA;NA;nonSA;-0.02 [-0.10, 0.05];78.10%;-0.04 [-0.16, 0.15];78.10%
80 - 75;NA;NA;NA;NA;-0.02 [-0.10, 0.04];80.73%;-0.04 [-0.16, 0.13];80.73%
85 - 80;NA;NA;FALSE;SA;-0.01 [-0.08, 0.04];63.20%;-0.01 [-0.14, 0.11];63.20%
85 - 80;NA;NA;FALSE;nonSA;-0.00 [-0.08, 0.04];51.92%;-0.00 [-0.13, 0.14];51.92%
85 - 80;NA;NA;FALSE;NA;-0.00 [-0.08, 0.04];57.27%;-0.01 [-0.13, 0.12];57.27%
85 - 80;NA;NA;TRUE;SA;-0.02 [-0.09, 0.02];88.55%;-0.03 [-0.11, 0.04];88.55%
85 - 80;NA;NA;TRUE;nonSA;-0.02 [-0.09, 0.03];83.33%;-0.03 [-0.12, 0.07];83.33%
85 - 80;NA;NA;TRUE;NA;-0.02 [-0.09, 0.02];89.50%;-0.03 [-0.11, 0.05];89.50%
85 - 80;NA;NA;NA;SA;-0.01 [-0.08, 0.02];82.55%;-0.02 [-0.12, 0.07];82.55%
85 - 80;NA;NA;NA;nonSA;-0.01 [-0.08, 0.03];71.60%;-0.01 [-0.12, 0.09];71.60%
85 - 80;NA;NA;NA;NA;-0.01 [-0.08, 0.03];80.73%;-0.02 [-0.12, 0.08];80.73%
85 - 30;NA;NA;FALSE;SA;-0.10 [-0.63, 0.43];67.50%;-0.21 [-1.24, 1.27];67.50%
85 - 30;NA;NA;FALSE;nonSA;-0.04 [-0.58, 0.50];57.60%;-0.10 [-1.11, 1.50];57.60%
85 - 30;NA;NA;FALSE;NA;-0.07 [-0.60, 0.46];63.20%;-0.16 [-1.16, 1.38];63.20%
85 - 30;NA;NA;TRUE;SA;-0.33 [-0.87, 0.24];91.15%;-0.56 [-1.35, 0.46];91.15%
85 - 30;NA;NA;TRUE;nonSA;-0.29 [-0.82, 0.26];88.62%;-0.58 [-1.47, 0.61];88.62%
85 - 30;NA;NA;TRUE;NA;-0.31 [-0.84, 0.24];90.08%;-0.57 [-1.37, 0.52];90.08%
85 - 30;NA;NA;NA;SA;-0.21 [-0.74, 0.32];83.10%;-0.41 [-1.29, 0.80];83.10%
85 - 30;NA;NA;NA;nonSA;-0.17 [-0.70, 0.38];77.42%;-0.35 [-1.29, 1.01];77.42%
85 - 30;NA;NA;NA;NA;-0.19 [-0.71, 0.35];80.73%;-0.39 [-1.26, 0.88];80.73%
85 - 30;SA - nonSA;NA;FALSE;NA;-0.05 [-0.18, 0.07];80.10%;-0.12 [-0.47, 0.16];79.27%
85 - 30;SA - nonSA;NA;TRUE;NA;-0.04 [-0.22, 0.14];66.25%;0.02 [-0.41, 0.39];54.50%
85 - 30;SA - nonSA;NA;NA;NA;-0.05 [-0.17, 0.08];77.30%;-0.06 [-0.41, 0.21];67.15%
85 - 30;FALSE - TRUE;NA;NA;SA;0.23 [0.10, 0.36];99.95%;0.33 [-0.06, 0.94];95.93%
85 - 30;FALSE - TRUE;NA;NA;nonSA;0.24 [0.12, 0.37];99.98%;0.48 [0.15, 1.02];99.88%
85 - 30;FALSE - TRUE;NA;NA;NA;0.23 [0.15, 0.33];100.00%;0.41 [0.09, 0.94];99.38%
